,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
802,CUBE,2023,"AIM, ALLROAD",AIM,road,general-road,627.0,409.0,1.533,595.0,420.0,73.5,110.0,68.5,461.0,65.0,,,1137.0,,,
805,Surly,2022,Grappler,Grappler,road,touring,623.0,420.0,1.483,610.0,437.2,73.0,200.0,69.5,425.0,50.0,,,1109.0,796.0,50.0,
846,Kona,2023,Rove HD,Rove HD,road,gravel,567.0,383.0,1.48,546.0,520.0,74.0,140.0,71.0,450.0,60.0,282.0,613.0,1057.0,773.0,50.0,
847,Giant,2023,"TCX, Advanced Pro 0",TCX Advanced Pro,road,cyclocross,572.0,385.0,1.486,560.0,545.0,73.0,163.0,72.0,430.0,60.0,,,1030.0,826.0,50.0,61.8
850,Salsa,2022,Journeyman Sora 650,Journeyman,road,gravel,567.0,367.0,1.545,540.0,470.0,73.0,140.0,70.5,440.0,72.0,,,1029.0,742.0,50.0,
858,Pivot,2023,Vault Team Force,Vault,road,gravel,574.0,395.0,1.453,565.0,548.0,73.5,155.0,72.0,420.0,70.0,,,1020.0,787.0,,
863,Salsa,2023,Stormchaser Single Speed,Stormchaser Single Speed,road,gravel,562.61,374.06,1.504,545.0,475.0,73.0,125.0,70.0,435.0,70.0,,,1037.0,756.48,51.0,
872,Scott,2023,Contessa Addict RC eRIDE 15,Contessa Addict RC,road,race,572.4,380.9,1.503,545.0,540.0,74.0,145.0,72.5,422.0,70.0,279.0,,1002.6,799.0,,
876,Scott,2023,Contessa Addict Gravel 15,Contessa Addict Gravel,road,gravel,565.3,387.1,1.46,554.5,528.0,73.5,140.0,71.0,425.0,71.0,283.0,,1029.2,807.0,,
877,Specialized,2023,Remco ‘Rojo’ Tarmac SL7 LTD,Remco ‘Rojo’ Tarmac,road,race,517.0,383.0,1.35,531.0,458.0,74.0,113.0,72.5,410.0,74.0,266.0,577.0,975.0,746.0,47.0,58.0
878,CUBE,2023,CROSS RACE C:62 PRO,CROSS RACE,road,cyclocross,570.0,390.0,1.462,560.0,528.0,73.4,144.0,72.0,425.0,63.0,,,1024.0,,,
885,Scott,2022,Addict eRIDE 30,Contessa Addict eRIDE,road,endurance,572.4,380.9,1.503,545.0,540.0,74.0,145.0,72.5,422.0,70.0,279.0,,1002.6,799.0,,
890,Giant,2022,"DailyTour, E+ 3 GTS","DailyTour, E+",road,touring,643.0,401.0,1.603,610.0,550.0,72.0,170.0,69.5,470.0,60.0,,,1132.0,818.0,44.0,86.9
893,Kona,2022,Sutra,Sutra,road,gravel,591.0,385.0,1.535,555.0,520.0,74.0,150.0,70.5,445.0,72.0,283.0,626.0,1061.0,794.0,50.0,
896,Pivot,2023,Evault GRX,Evault,road,gravel,574.0,395.0,1.453,565.0,548.0,73.5,155.0,72.0,420.0,70.0,,,1020.0,787.0,,
898,Scott,2023,Contessa Speedster Gravel 35,Contessa Speedster Gravel,road,gravel,547.2,382.0,1.432,536.5,520.0,74.0,123.0,70.0,435.0,71.0,283.0,,1037.7,786.0,,
901,Scott,2023,Contessa Solace Gravel eRIDE15,Solace,road,gravel,565.6,387.0,1.461,554.5,527.0,73.5,128.0,71.0,435.0,76.0,294.0,,1036.8,803.0,,70.7
908,Pivot,2022,E-VAULT Team GRX Di2 w/ Carbon Wheels,E-VAULT Team,road,gravel,574.0,395.0,1.453,565.0,548.0,73.5,155.0,72.0,420.0,70.0,,,1020.0,787.0,,
996,Giant,2021,Revolt 0,"Revolt, Advanced",road,gravel,572.0,381.0,1.501,550.0,470.0,73.5,150.0,70.5,430.0,70.0,,,1036.0,749.0,50.0,75.0
1186,Giant,2019,Revolt Advanced 2,Revolt Advanced,road,gravel,572.0,381.0,1.501,550.0,470.0,73.5,150.0,70.5,425.0,70.0,,,1031.0,752.0,50.0,74.0
1433,Specialized,2014,Tarmac SL4 Comp Ultegra,Tarmac SL4,road,race,543.0,387.0,1.403,548.0,510.0,73.5,140.0,73.0,405.0,69.0,,583.0,978.0,775.0,45.0,57.0
1584,Specialized,2021,CruX Comp,CruX,road,cyclocross,554.0,375.0,1.477,534.0,510.0,74.0,125.0,71.5,425.0,71.0,281.5,593.0,1008.0,794.5,50.0,65.0
1593,Giant,2021,Defy Advanced 3,Defy,road,endurance,567.0,377.0,1.504,545.0,480.0,73.5,160.0,72.5,420.0,75.0,,,998.0,786.0,50.0,58.2
1649,Giant,2020,Defy Advanced 3,Defy Advanced,road,endurance,567.0,377.0,1.504,545.0,480.0,73.5,160.0,72.5,420.0,75.0,,,998.0,786.0,50.0,58.0
2163,Giant,2021,Propel Advanced Disc 2,Propel Advanced,road,aero,545.0,383.0,1.423,550.0,520.0,73.0,145.0,73.0,405.0,68.0,,,976.0,787.0,45.0,57.0
2271,Kona,2020,Rove DL,Swift Rove,road,gravel,570.0,385.0,1.481,549.0,520.0,74.0,130.0,71.0,435.0,72.0,280.0,608.0,1033.0,782.0,45.0,
